user_id	question	response	sequence_label

1	Any big worries today? How's your mood been?	Yeah, I'm kinda stressed about a presentation I have next week. My mood's been up and down, mostly just anxious though.	anxiety
1	What's on your mind lately? How have you been sleeping?	I can't seem to stop thinking about work. I keep replaying things in my head. Sleep's been awful, tossing and turning all night.	anxiety
1	How was your energy yesterday? How have you been sleeping?	My energy was pretty low. I felt drained all day. I haven't been sleeping well; waking up a lot.	anxiety
1	How was your energy yesterday? What's on your mind lately?	I was exhausted all day yesterday. I've been so worried that I didn't complete a project to the necessary standard.	anxiety
1	Feeling overwhelmed at all? Any big worries today?	Definitely feeling overwhelmed. I have a lot of deadlines coming up, and I'm worried I won't meet them.	anxiety
1	Feeling overwhelmed at all? How's your focus been?	Totally overwhelmed. I can't seem to concentrate on anything for more than a few minutes. My mind keeps racing.	anxiety
1	How's your focus been? How's your mood been?	My focus has been terrible. I keep getting distracted. And my mood's been pretty low, I just feel on edge all the time.	anxiety
2	How was your energy yesterday? How have you been sleeping?	Energy was low, I think? I was tired all day, but then I tossed and turned all night, thinking about everything. So, not great sleep.	anxiety
2	How's your focus been? Any big worries today?	Focus is shot. I have a presentation to give, and I'm terrified of messing it up. Everyone will think I'm an idiot.	anxiety
2	Feeling overwhelmed at all? How's your mood been?	Totally overwhelmed! My mood has been awful. I keep snapping at people, then feeling guilty about it.	anxiety
2	What's on your mind lately? How have you been sleeping?	Ugh, so much. Work deadlines, bills, whether I locked the front door, if I'm eating healthy enough... Sleep has been awful. Waking up every hour.	anxiety
2	How was your energy yesterday? What's on your mind lately?	Yesterday was a blur of anxiety. Mostly thinking about all the things that could go wrong at work.	anxiety
2	Any big worries today? How's your mood been?	Worried about everything as usual. My mood is just...bleh. On edge all the time.	anxiety
2	Feeling overwhelmed at all? How's your focus been?	Completely overwhelmed. Can't seem to concentrate on anything for more than 5 minutes. My brain is just racing.	anxiety
3	How's your focus been? Any big worries today?	My focus has been awful. Just a lot of racing thoughts. I'm really worried about this presentation at work. What if I mess it up?	anxiety
3	Feeling overwhelmed at all? Any big worries today?	Yeah, totally overwhelmed. Just thinking about all the stuff I have to do and feeling like I'm going to fail at all of it. Plus, I'm worried about my mom; she hasn't been feeling well.	anxiety
3	How was your energy yesterday? What's on your mind lately?	My energy was pretty low. I mostly just stayed in bed. I can't stop thinking about all the things that could go wrong with my relationship.	anxiety
3	How's your focus been? How's your mood been?	My focus is shot. Can't seem to concentrate on anything. And my mood has been pretty down, bordering on panicky, honestly.	anxiety
3	Feeling overwhelmed at all? How's your mood been?	Definitely overwhelmed. Work is crazy, and I feel like I'm letting everyone down. My mood is just blah. Anxious and blah.	anxiety
3	How was your energy yesterday? How have you been sleeping?	Energy was nonexistent yesterday. I slept okay, I guess, but I kept waking up in the middle of the night thinking about bills.	anxiety
3	What's on your mind lately? How have you been sleeping?	I've been thinking a lot about the future, and how uncertain everything is. Like, what if I make the wrong choices? Sleep has been okay, but I keep having these stressful dreams.	anxiety
4	What's on your mind lately? Feeling overwhelmed at all?	Just a lot, you know? Work stuff mostly, deadlines. And I keep thinking about my mom, she's been having some health issues, nothing serious (I hope) but it's just...a lot to juggle. Overwhelmed is an understatement, haha.	anxiety
4	How was your energy yesterday? What's on your mind lately?	Yesterday I was pretty tired, I think. Didn't really do much besides work. Still thinking about this presentation I have to give next week. I keep going over it in my head, worried I'll mess it up.	anxiety
4	How have you been sleeping? Feeling overwhelmed at all?	Not great, honestly. I wake up a lot during the night. And yeah, overwhelmed is kind of my default setting these days. Just trying to keep all the plates spinning.	anxiety
4	How was your energy yesterday? How have you been sleeping?	Ehh, yesterday was okay I guess. Pretty standard tired after work. Sleep's been rough, though. Hard to shut my brain off when I'm trying to sleep.	anxiety
4	How's your focus been? How's your mood been?	Focus has been terrible. I keep getting distracted, and my mind wanders a lot. Mood is... not great. Kind of just blah.	anxiety
4	How's your focus been? Any big worries today?	Focus is all over the place. I can't seem to concentrate on anything for more than a few minutes. And yeah, I'm worried about money, like always. Just the usual stuff, I guess.	anxiety
4	Any big worries today? How's your mood been?	Yeah, definitely worried about my interview tomorrow. I'm afraid I'll freeze up and say the wrong things. Mood is tense. I'm just trying to stay calm.	anxiety
5	What's on your mind lately? Feeling overwhelmed at all?	Yeah, definitely overwhelmed. Just thinking about all the stuff I have to do at work, and then I keep replaying that conversation I had with my mom. I'm worried I upset her. It's just a lot.	anxiety
5	Any big worries today? How's your mood been?	My mood's been pretty bad, honestly. I'm just so worried about this presentation I have to give next week. I'm afraid I'm going to freeze up or say something stupid. I keep thinking about all the ways it could go wrong.	anxiety
5	How's your focus been? How's your mood been?	My focus has been terrible. I can't seem to concentrate on anything. My mood is not good either. I'm just on edge and irritable.	anxiety
5	How was your energy yesterday? What's on your mind lately?	Yesterday, I was exhausted all day. Even after sleeping, I was tired. I keep thinking about my finances. I'm terrified I'm going to lose my job and not be able to pay my bills.	anxiety
5	Feeling overwhelmed at all? Any big worries today?	Yes, absolutely overwhelmed. I'm worried about failing my classes and what my parents will say.	anxiety
5	How have you been sleeping? How's your focus been?	My sleep has been awful. I wake up like every hour. My focus is shot too. I can't concentrate on anything.	anxiety
5	How was your energy yesterday? How have you been sleeping?	Yesterday, I had zero energy. I slept like crap, too. I kept waking up in the middle of the night and couldn't fall back asleep.	anxiety
6	How was your energy yesterday? What's on your mind lately?	Ugh, my energy was so low yesterday. I just felt drained. Lately, I keep thinking about work and if I'm doing enough, and also my family's health... it's a lot.	anxiety
6	How's your focus been? Any big worries today?	My focus has been terrible, like I can't concentrate on anything for more than a few minutes. I'm just worried about messing up a presentation I have next week, and it feels like everything is riding on it.	anxiety
6	How have you been sleeping? How's your focus been?	Sleep has been rough. I'm waking up a lot, and my mind is racing. My focus is all over the place, too. It's hard to get anything done.	anxiety
6	How was your energy yesterday? How have you been sleeping?	Yesterday was exhausting, even though I didn't do much. I've been sleeping terribly – tossing and turning, can't switch my brain off.	anxiety
